ra,ano,ida,ieg,ips,ipv,fase,idade,alvo
RA-52,2023,6.4,9.8,2.52,8.2975,5,14.0,0
RA-530,2023,5.7,8.8,5.0,7.46,2,11.0,0
RA-531,2023,7.7,10.0,2.52,8.59,2,11.0,0
RA-535,2023,5.6,9.4,5.0,8.95,2,11.0,0
RA-536,2023,5.9,9.3,2.52,9.17,2,10.0,0
RA-543,2023,6.5,9.8,2.52,9.006666667,2,11.0,0
RA-557,2023,8.9,8.2,5.0,9.62,2,11.0,0
RA-56,2023,7.8,9.5,5.0,7.8,6,16.0,0
RA-563,2023,6.2,9.7,2.52,8.726666667,2,11.0,0
RA-578,2023,9.7,10.0,2.52,9.7625,2,11.0,0
RA-58,2023,8.1,9.7,6.26,8.3825,6,16.0,0
RA-584,2023,5.8,9.0,2.52,8.56,2,11.0,0
RA-586,2023,8.4,10.0,2.52,9.343333333,2,10.0,0
RA-588,2023,7.8,9.6,2.52,9.673333333,2,10.0,0
RA-590,2023,6.5,9.7,3.77,8.34,2,11.0,1
RA-592,2023,7.6,9.2,3.77,8.95,2,11.0,0
RA-599,2023,8.5,9.5,2.52,9.286666667,2,10.0,0
RA-601,2023,8.7,10.0,7.52,8.336666667,1,9.0,1
RA-603,2023,7.0,8.9,2.52,7.78,2,11.0,0
RA-604,2023,7.5,9.3,7.52,8.616666667,2,11.0,0
RA-610,2023,7.0,10.0,2.52,8.896666667,2,10.0,0
RA-632,2023,7.4,9.1,5.64,8.563333333,2,11.0,0
RA-639,2023,6.3,8.1,6.27,7.62,2,11.0,0
RA-642,2023,6.5,9.2,6.27,9.173333333,2,11.0,0
RA-651,2023,9.3,8.2,3.77,7.95,2,11.0,0
RA-658,2023,6.1,9.5,7.52,9.173333333,2,10.0,0
RA-666,2023,7.1,9.1,7.52,9.62,2,11.0,0
RA-669,2023,5.0,7.8,7.52,7.06,2,11.0,0
RA-670,2023,7.0,8.7,7.52,9.343333333,2,11.0,0
RA-684,2023,6.5,8.1,7.52,5.84,0,8.0,0
RA-693,2023,8.5,9.4,6.89,10.01,0,8.0,0
